,DATE,GDP
0,1947-04-01,-1.0
1,1947-07-01,-0.8
2,1947-10-01,6.4
3,1948-01-01,6.2
4,1948-04-01,6.8
5,1948-07-01,2.3
6,1948-10-01,0.4
7,1949-01-01,-5.4
8,1949-04-01,-1.4
9,1949-07-01,4.2
10,1949-10-01,-3.3
11,1950-01-01,16.7
12,1950-04-01,12.8
13,1950-07-01,16.4
14,1950-10-01,7.9
15,1951-01-01,5.5
16,1951-04-01,7.1
17,1951-07-01,8.5
18,1951-10-01,0.9
19,1952-01-01,4.3
20,1952-04-01,0.9
21,1952-07-01,2.9
22,1952-10-01,13.8
23,1953-01-01,7.6
24,1953-04-01,3.1
25,1953-07-01,-2.2
26,1953-10-01,-5.9
27,1954-01-01,-1.9
28,1954-04-01,0.4
29,1954-07-01,4.6
30,1954-10-01,8.1
31,1955-01-01,11.9
32,1955-04-01,6.7
33,1955-07-01,5.5
34,1955-10-01,2.4
35,1956-01-01,-1.5
36,1956-04-01,3.3
37,1956-07-01,-0.4
38,1956-10-01,6.7
39,1957-01-01,2.6
40,1957-04-01,-0.9
41,1957-07-01,4.0
42,1957-10-01,-4.1
43,1958-01-01,-10.0
44,1958-04-01,2.7
45,1958-07-01,9.6
46,1958-10-01,9.7
47,1959-01-01,7.9
48,1959-04-01,9.3
49,1959-07-01,0.3
50,1959-10-01,1.1
51,1960-01-01,9.3
52,1960-04-01,-2.1
53,1960-07-01,2.0
54,1960-10-01,-5.0
55,1961-01-01,2.7
56,1961-04-01,7.0
57,1961-07-01,7.9
58,1961-10-01,8.1
59,1962-01-01,7.3
60,1962-04-01,3.7
61,1962-07-01,5.0
62,1962-10-01,1.3
63,1963-01-01,4.4
64,1963-04-01,4.6
65,1963-07-01,9.1
66,1963-10-01,2.6
67,1964-01-01,8.7
68,1964-04-01,4.4
69,1964-07-01,6.4
70,1964-10-01,1.2
71,1965-01-01,10.0
72,1965-04-01,5.1
73,1965-07-01,9.2
74,1965-10-01,9.5
75,1966-01-01,10.1
76,1966-04-01,1.4
77,1966-07-01,3.4
78,1966-10-01,3.3
79,1967-01-01,3.6
80,1967-04-01,0.2
81,1967-07-01,3.8
82,1967-10-01,3.0
83,1968-01-01,8.4
84,1968-04-01,6.9
85,1968-07-01,3.1
86,1968-10-01,1.6
87,1969-01-01,6.4
88,1969-04-01,1.2
89,1969-07-01,2.7
90,1969-10-01,-1.9
91,1970-01-01,-0.6
92,1970-04-01,0.6
93,1970-07-01,3.7
94,1970-10-01,-4.2
95,1971-01-01,11.3
96,1971-04-01,2.2
97,1971-07-01,3.3
98,1971-10-01,0.9
99,1972-01-01,7.6
100,1972-04-01,9.4
101,1972-07-01,3.8
102,1972-10-01,6.9
103,1973-01-01,10.3
104,1973-04-01,4.4
105,1973-07-01,-2.1
106,1973-10-01,3.8
107,1974-01-01,-3.4
108,1974-04-01,1.0
109,1974-07-01,-3.7
110,1974-10-01,-1.5
111,1975-01-01,-4.8
112,1975-04-01,2.9
113,1975-07-01,7.0
114,1975-10-01,5.5
115,1976-01-01,9.3
116,1976-04-01,3.0
117,1976-07-01,2.2
118,1976-10-01,2.9
119,1977-01-01,4.8
120,1977-04-01,8.0
121,1977-07-01,7.4
122,1977-10-01,0.0
123,1978-01-01,1.3
124,1978-04-01,16.4
125,1978-07-01,4.1
126,1978-10-01,5.5
127,1979-01-01,0.7
128,1979-04-01,0.4
129,1979-07-01,3.0
130,1979-10-01,1.0
131,1980-01-01,1.3
132,1980-04-01,-8.0
133,1980-07-01,-0.5
134,1980-10-01,7.7
135,1981-01-01,8.1
136,1981-04-01,-2.9
137,1981-07-01,4.9
138,1981-10-01,-4.3
139,1982-01-01,-6.1
140,1982-04-01,1.8
141,1982-07-01,-1.5
142,1982-10-01,0.2
143,1983-01-01,5.4
144,1983-04-01,9.4
145,1983-07-01,8.2
146,1983-10-01,8.6
147,1984-01-01,8.1
148,1984-04-01,7.1
149,1984-07-01,3.9
150,1984-10-01,3.3
151,1985-01-01,3.9
152,1985-04-01,3.6
153,1985-07-01,6.2
154,1985-10-01,3.0
155,1986-01-01,3.8
156,1986-04-01,1.8
157,1986-07-01,3.9
158,1986-10-01,2.2
159,1987-01-01,3.0
160,1987-04-01,4.4
161,1987-07-01,3.5
162,1987-10-01,7.0
163,1988-01-01,2.1
164,1988-04-01,5.4
165,1988-07-01,2.4
166,1988-10-01,5.4
167,1989-01-01,4.1
168,1989-04-01,3.1
169,1989-07-01,3.0
170,1989-10-01,0.8
171,1990-01-01,4.4
172,1990-04-01,1.5
173,1990-07-01,0.3
174,1990-10-01,-3.6
175,1991-01-01,-1.9
176,1991-04-01,3.2
177,1991-07-01,2.0
178,1991-10-01,1.4
179,1992-01-01,4.9
180,1992-04-01,4.4
181,1992-07-01,4.0
182,1992-10-01,4.2
183,1993-01-01,0.7
184,1993-04-01,2.3
185,1993-07-01,1.9
186,1993-10-01,5.6
187,1994-01-01,3.9
188,1994-04-01,5.5
189,1994-07-01,2.4
190,1994-10-01,4.7
191,1995-01-01,1.4
192,1995-04-01,1.2
193,1995-07-01,3.5
194,1995-10-01,2.7
195,1996-01-01,3.0
196,1996-04-01,6.8
197,1996-07-01,3.6
198,1996-10-01,4.2
199,1997-01-01,2.6
200,1997-04-01,6.8
201,1997-07-01,5.1
202,1997-10-01,3.5
203,1998-01-01,4.1
204,1998-04-01,3.8
205,1998-07-01,5.1
206,1998-10-01,6.6
207,1999-01-01,3.8
208,1999-04-01,3.1
209,1999-07-01,5.3
210,1999-10-01,7.0
211,2000-01-01,1.5
212,2000-04-01,7.5
213,2000-07-01,0.5
214,2000-10-01,2.5
215,2001-01-01,-1.1
216,2001-04-01,2.4
217,2001-07-01,-1.7
218,2001-10-01,1.1
219,2002-01-01,3.5
220,2002-04-01,2.4
221,2002-07-01,1.8
222,2002-10-01,0.6
223,2003-01-01,2.2
224,2003-04-01,3.5
225,2003-07-01,7.0
226,2003-10-01,4.7
227,2004-01-01,2.2
228,2004-04-01,3.1
229,2004-07-01,3.8
230,2004-10-01,4.1
231,2005-01-01,4.5
232,2005-04-01,1.9
233,2005-07-01,3.6
234,2005-10-01,2.6
235,2006-01-01,5.4
236,2006-04-01,0.9
237,2006-07-01,0.6
238,2006-10-01,3.5
239,2007-01-01,0.9
240,2007-04-01,2.3
241,2007-07-01,2.2
242,2007-10-01,2.5
243,2008-01-01,-2.3
244,2008-04-01,2.1
245,2008-07-01,-2.1
246,2008-10-01,-8.4
247,2009-01-01,-4.4
248,2009-04-01,-0.6
249,2009-07-01,1.5
250,2009-10-01,4.5
251,2010-01-01,1.5
252,2010-04-01,3.7
253,2010-07-01,3.0
254,2010-10-01,2.0
255,2011-01-01,-1.0
256,2011-04-01,2.9
257,2011-07-01,-0.1
258,2011-10-01,4.7
259,2012-01-01,3.2
260,2012-04-01,1.7
261,2012-07-01,0.5
262,2012-10-01,0.5
263,2013-01-01,3.6
264,2013-04-01,0.5
265,2013-07-01,3.2
266,2013-10-01,3.2
267,2014-01-01,-1.0
268,2014-04-01,5.1
269,2014-07-01,4.9
270,2014-10-01,1.9
271,2015-01-01,3.3
272,2015-04-01,3.3
273,2015-07-01,1.0
274,2015-10-01,0.4
275,2016-01-01,1.5
276,2016-04-01,2.3
277,2016-07-01,1.9
278,2016-10-01,1.8
279,2017-01-01,1.8
280,2017-04-01,3.0
281,2017-07-01,2.8
282,2017-10-01,2.3
283,2018-01-01,2.2
284,2018-04-01,4.2
285,2018-07-01,3.4
